Tier,Begin time [ss.ms],End time [ss.ms],Duration [ss.ms],content
osoba1_1,29.536,34.045,4.509,osoba1
osoba1_1,80.057,81.499,1.442,osoba1
osoba1_1,85.082,88.68,3.598,osoba1
osoba1_1,90.561,91.24,0.679,osoba1
osoba1_1,110.201,121.054,10.853,osoba1
osoba1_1,122.892,123.037,0.145,osoba1
osoba1_1,124.856,131.963,7.107,osoba1
osoba1_1,135.005,135.202,0.197,osoba1
osoba1_1,144.183,144.3,0.117,osoba1
osoba1_1,153.301,153.481,0.18,osoba1
osoba1_1,154.546,171.989,17.443,osoba1
osoba1_1,174.553,184.011,9.458,osoba1
osoba1_1,186.565,187.957,1.392,osoba1
osoba1_1,191.058,191.171,0.113,osoba1
osoba1_1,192.249,192.441,0.192,osoba1
osoba1_1,194.62,195.615,0.995,osoba1
osoba1_1,204.298,205.593,1.295,osoba1
osoba1_1,213.375,216.983,3.608,osoba1
osoba1_1,219.798,221.441,1.643,osoba1
osoba1_1,227.682,233.866,6.184,osoba1
osoba1_1,238.656,240.797,2.141,osoba1
osoba1_1,242.549,242.992,0.443,osoba1
osoba1_1,257.507,260.757,3.25,osoba1
osoba1_1,281.674,302.543,20.869,osoba1
osoba1_1,323.768,339.397,15.629,osoba1
osoba1_1,340.431,355.669,15.238,osoba1
osoba1_1,358.101,358.32,0.219,osoba1
osoba1_1,362.228,364.182,1.954,osoba1
osoba1_1,370.073,374.724,4.651,osoba1
osoba1_1,375.984,396.038,20.054,osoba1
osoba1_1,397.536,414.768,17.232,osoba1
osoba1_1,417.152,417.433,0.281,osoba1
osoba1_1,418.825,419.311,0.486,osoba1
osoba1_1,425.777,426.583,0.806,osoba1
osoba1_1,440.645,440.979,0.334,osoba1
osoba1_1,445.991,446.825,0.834,osoba1
osoba1_1,449.015,452.274,3.259,osoba1
osoba1_1,456.491,456.766,0.275,osoba1
osoba1_1,461.051,461.655,0.604,osoba1
osoba1_1,466.395,466.856,0.461,osoba1
osoba1_1,468.034,493.89,25.856,osoba1
osoba1_1,495.61,506.304,10.694,osoba1
osoba1_1,511.153,511.329,0.176,osoba1
osoba1_1,555.583,557.066,1.483,osoba1
osoba1_1,562.441,562.811,0.37,osoba1
osoba1_1,564.227,564.632,0.405,osoba1
osoba1_1,566.915,569.598,2.683,osoba1
osoba1_1,574.594,576.901,2.307,osoba1
osoba1_1,583.609,584.871,1.262,osoba1
osoba1_1,587.616,592.634,5.018,osoba1
osoba1_1,607.882,608.951,1.069,osoba1
osoba1_1,635.288,637.225,1.937,osoba1
osoba1_1,640.43,644.481,4.051,osoba1
osoba1_1,652.151,654.214,2.063,osoba1
osoba1_1,659.989,660.514,0.525,osoba1
osoba1_1,666.371,669.029,2.658,osoba1
osoba1_1,670.481,670.895,0.414,osoba1
osoba1_1,673.518,677.071,3.553,osoba1
osoba1_1,678.172,679.629,1.457,osoba1
osoba1_1,685.93,705.663,19.733,osoba1
osoba1_1,706.743,713.082,6.339,osoba1
osoba1_1,714.33,714.646,0.316,osoba1
osoba1_1,719.779,722.972,3.193,osoba1
osoba1_1,724.023,725.364,1.341,osoba1
osoba1_1,727.343,728.31,0.967,osoba1
osoba1_1,729.813,736.662,6.849,osoba1
osoba1_1,739.178,739.502,0.324,osoba1
osoba1_1,740.892,741.067,0.175,osoba1
osoba1_1,742.417,745.652,3.235,osoba1
osoba1_1,751.625,753.477,1.852,osoba1
osoba1_1,765.56,768.87,3.31,osoba1
osoba1_1,778.902,779.281,0.379,osoba1
osoba1_1,781.411,782.567,1.156,osoba1
osoba1_1,798.725,800.481,1.756,osoba1
osoba1_1,804.684,805.596,0.912,osoba1
osoba1_1,806.934,810.235,3.301,osoba1
osoba1_1,811.855,811.993,0.138,osoba1
osoba1_1,835.291,836.696,1.405,osoba1
osoba1_1,848.352,849.345,0.993,osoba1
osoba1_1,851.241,851.923,0.682,osoba1
osoba1_1,861.853,885.127,23.274,osoba1
osoba1_1,886.602,887.068,0.466,osoba1
osoba1_1,891.109,891.253,0.144,osoba1
osoba1_1,892.704,895.16,2.456,osoba1
osoba1_1,903.354,905.511,2.157,osoba1
osoba1_1,913.664,914.458,0.794,osoba1
osoba1_1,928.308,928.508,0.2,osoba1
osoba1_1,932.137,932.445,0.308,osoba1
osoba2,747.082,751.024,3.942,osoba2
osoba2,753.779,763.259,9.48,osoba2
osoba2,767.89,776.441,8.551,osoba2
osoba2,777.822,778.392,0.57,osoba2
osoba2,827.082,832.689,5.607,osoba2
osoba2,837.531,841.976,4.445,osoba2
osoba2,851.544,860.854,9.31,osoba2
osoba2,868.753,869.677,0.924,osoba2
osoba2,883.666,884.249,0.583,osoba2
osoba2,889.325,892.993,3.668,osoba2
osoba2,895.905,900.509,4.604,osoba2
osoba2,906.418,906.965,0.547,osoba2
osoba2,913.821,915.805,1.984,osoba2
osoba2,917.171,921.643,4.472,osoba2
osoba2,923.014,924.429,1.415,osoba2
osoba2,926.836,928.872,2.036,osoba2
osoba2,930.804,931.192,0.388,osoba2
osoba2,933.774,935.084,1.31,osoba2
osoba2,936.547,936.718,0.171,osoba2
osoba2,940.677,941.156,0.479,osoba2
osoba3,33.948,35.467,1.519,osoba3
osoba3,39.19,39.42,0.23,osoba3
osoba3,51.223,51.465,0.242,osoba3
osoba3,52.671,53.964,1.293,osoba3
osoba3,58.416,60.608,2.192,osoba3
osoba3,63.823,67.613,3.79,osoba3
osoba3,69.418,70.473,1.055,osoba3
osoba3,72.333,79.085,6.752,osoba3
osoba3,80.197,84.622,4.425,osoba3
osoba3,88.923,97.886,8.963,osoba3
osoba3,99.534,108.167,8.633,osoba3
osoba3,109.384,109.607,0.223,osoba3
osoba3,120.327,120.517,0.19,osoba3
osoba3,121.743,139.648,17.905,osoba3
osoba3,140.698,152.244,11.546,osoba3
osoba3,168.199,168.59,0.391,osoba3
osoba3,172.955,175.341,2.386,osoba3
osoba3,179.865,180.094,0.229,osoba3
osoba3,182.972,184.245,1.273,osoba3
osoba3,191.032,191.235,0.203,osoba3
osoba3,192.351,192.684,0.333,osoba3
osoba3,195.84,196.569,0.729,osoba3
osoba3,199.579,199.823,0.244,osoba3
osoba3,201.896,205.09,3.194,osoba3
osoba3,210.339,211.102,0.763,osoba3
osoba3,215.175,216.032,0.857,osoba3
osoba3,218.452,218.879,0.427,osoba3
osoba3,221.596,235.457,13.861,osoba3
osoba3,238.829,239.106,0.277,osoba3
osoba3,242.703,245.283,2.58,osoba3
osoba3,246.454,255.689,9.235,osoba3
osoba3,257.612,258.147,0.535,osoba3
osoba3,261.546,262.89,1.344,osoba3
osoba3,271.579,271.841,0.262,osoba3
osoba3,273.822,277.004,3.182,osoba3
osoba3,294.714,294.896,0.182,osoba3
osoba3,300.184,300.471,0.287,osoba3
osoba3,303.92,313.72,9.8,osoba3
osoba3,315.324,319.985,4.661,osoba3
osoba3,321.471,322.229,0.758,osoba3
osoba3,330.01,330.175,0.165,osoba3
osoba3,331.489,331.607,0.118,osoba3
osoba3,336.838,337.388,0.55,osoba3
osoba3,345.983,346.449,0.466,osoba3
osoba3,351.209,351.429,0.22,osoba3
osoba3,355.041,355.286,0.245,osoba3
osoba3,359.887,361.488,1.601,osoba3
osoba3,365.329,369.55,4.221,osoba3
osoba3,374.101,374.329,0.228,osoba3
osoba3,398.048,398.177,0.129,osoba3
osoba3,400.207,401.462,1.255,osoba3
osoba3,403.206,404.116,0.91,osoba3
osoba3,412.258,412.497,0.239,osoba3
osoba3,417.208,418.113,0.905,osoba3
osoba3,419.371,423.361,3.99,osoba3
osoba3,424.892,439.424,14.532,osoba3
osoba3,440.657,446.69,6.033,osoba3
osoba3,447.882,448.06,0.178,osoba3
osoba3,449.285,449.551,0.266,osoba3
osoba3,453.095,457.984,4.889,osoba3
osoba3,459.217,465.387,6.17,osoba3
osoba3,489.117,489.381,0.264,osoba3
osoba3,496.037,496.556,0.519,osoba3
osoba3,507.573,513.971,6.398,osoba3
osoba3,515.596,524.251,8.655,osoba3
osoba3,525.337,528.016,2.679,osoba3
osoba3,529.507,531.964,2.457,osoba3
osoba3,533.524,545.729,12.205,osoba3
osoba3,547.634,548.144,0.51,osoba3
osoba3,549.232,552.267,3.035,osoba3
osoba3,553.426,554.276,0.85,osoba3
osoba3,559.907,561.9,1.993,osoba3
osoba3,568.351,569.463,1.112,osoba3
osoba3,579.346,582.221,2.875,osoba3
osoba3,591.828,594.107,2.279,osoba3
osoba3,599.32,601.347,2.027,osoba3
osoba3,602.994,603.437,0.443,osoba3
osoba3,604.751,607.999,3.248,osoba3
osoba3,621.44,621.902,0.462,osoba3
osoba3,623.69,626.865,3.175,osoba3
osoba3,628.738,629.127,0.389,osoba3
osoba3,630.419,631.365,0.946,osoba3
osoba3,633.81,635.262,1.452,osoba3
osoba3,637.023,638.909,1.886,osoba3
