group,condition
25.06.2021_16.00,t
25.06.2021_16.00,t
25.06.2021_16.00,t
25.06.2021_16.00,t
30.06.2021_10.00,t
30.06.2021_10.00,t
30.06.2021_10.00,t
30.06.2021_10.00,t
30.06.2021_16.20,m
30.06.2021_16.20,m
30.06.2021_16.20,m
30.06.2021_16.20,m
30.06.2021_18.41,t
30.06.2021_18.41,t
30.06.2021_18.41,t
30.06.2021_18.41,t
01.07.2021_10.23,tk
01.07.2021_10.23,tk
01.07.2021_10.23,tk
01.07.2021_10.23,tk
01.07.2021_16.40,t
01.07.2021_16.40,t
01.07.2021_16.40,t
01.07.2021_16.40,t
01.07.2021_18.33,tk
01.07.2021_18.33,tk
01.07.2021_18.33,tk
01.07.2021_18.33,tk
02.07.2021_10.58,m
02.07.2021_10.58,m
02.07.2021_10.58,m
02.07.2021_10.58,m
19.07.2021_11.35,m
19.07.2021_11.35,m
19.07.2021_11.35,m
19.07.2021_11.35,m
19.07.2021_13.31,t
19.07.2021_13.31,t
19.07.2021_13.31,t
19.07.2021_13.31,t
20.07.2021_17.49,m
20.07.2021_17.49,m
20.07.2021_17.49,m
20.07.2021_17.49,m
21.07.2021_11.13,tk
21.07.2021_11.13,tk
21.07.2021_11.13,tk
21.07.2021_11.13,tk
21.07.2021_13.36,t
21.07.2021_13.36,t
21.07.2021_13.36,t
21.07.2021_13.36,t
22.07.2021_17.41,tk
22.07.2021_17.41,tk
22.07.2021_17.41,tk
22.07.2021_17.41,tk
23.07.2021_11.33,tk
23.07.2021_11.33,tk
23.07.2021_11.33,tk
23.07.2021_11.33,tk
23.07.2021_13.57,tk
23.07.2021_13.57,tk
23.07.2021_13.57,tk
23.07.2021_13.57,tk
26.07.2021_11.16,t
26.07.2021_11.16,t
26.07.2021_11.16,t
26.07.2021_11.16,t
27.07.2021_16.52,t
27.07.2021_16.52,t
27.07.2021_16.52,t
27.07.2021_16.52,t
28.07.2021_11.13,tk
28.07.2021_11.13,tk
28.07.2021_11.13,tk
28.07.2021_11.13,tk
30.07.2021_11.13,t
30.07.2021_11.13,t
30.07.2021_11.13,t
30.07.2021_11.13,t
30.07.2021_13.42,t
30.07.2021_13.42,t
30.07.2021_13.42,t
30.07.2021_13.42,t
02.08.2021_11.14,t
02.08.2021_11.14,t
02.08.2021_11.14,t
02.08.2021_11.14,t
02.08.2021_13.36,tk
02.08.2021_13.36,tk
02.08.2021_13.36,tk
02.08.2021_13.36,tk
05.08.2021_16.35,t
05.08.2021_16.35,t
05.08.2021_16.35,t
05.08.2021_16.35,t
05.08.2021_18.58,m
05.08.2021_18.58,m
05.08.2021_18.58,m
05.08.2021_18.58,m
09.08.2021_16.27,m
09.08.2021_16.27,m
09.08.2021_16.27,m
09.08.2021_16.27,m
11.08.2021_18.49,tk
11.08.2021_18.49,tk
11.08.2021_18.49,tk
11.08.2021_18.49,tk
12.08.2021_16.09,t
12.08.2021_16.09,t
12.08.2021_16.09,t
12.08.2021_16.09,t
12.08.2021_18.33,m
12.08.2021_18.33,m
12.08.2021_18.33,m
12.08.2021_18.33,m
18.08.2021_14.49,tk
18.08.2021_14.49,tk
18.08.2021_14.49,tk
18.08.2021_14.49,tk
24.08.2021_10.48,tk
24.08.2021_10.48,tk
24.08.2021_10.48,tk
24.08.2021_10.48,tk
28.08.2021_18.02,t
28.08.2021_18.02,t
28.08.2021_18.02,t
28.08.2021_18.02,t
30.08.2021_16.20,t
30.08.2021_16.20,t
30.08.2021_16.20,t
30.08.2021_16.20,t
08.09.2021_11.07,m
08.09.2021_11.07,m
08.09.2021_11.07,m
08.09.2021_11.07,m
08.09.2021_19.43,m
08.09.2021_19.43,m
08.09.2021_19.43,m
08.09.2021_19.43,m
10.09.2021_11.47,m
10.09.2021_11.47,m
10.09.2021_11.47,m
10.09.2021_11.47,m
13.09.2021_15.55,m
13.09.2021_15.55,m
13.09.2021_15.55,m
13.09.2021_15.55,m
13.09.2021_18.09,tk
13.09.2021_18.09,tk
13.09.2021_18.09,tk
13.09.2021_18.09,tk
15.09.2021_16.53,m
15.09.2021_16.53,m
15.09.2021_16.53,m
15.09.2021_16.53,m
16.09.2021_10.22,tk
16.09.2021_10.22,tk
16.09.2021_10.22,tk
16.09.2021_10.22,tk
20.09.2021_17.24,m
20.09.2021_17.24,m
20.09.2021_17.24,m
20.09.2021_17.24,m
20.09.2021_19.34,tk
20.09.2021_19.34,tk
20.09.2021_19.34,tk
20.09.2021_19.34,tk
21.09.2021_15.21,m
21.09.2021_15.21,m
21.09.2021_15.21,m
21.09.2021_15.21,m
21.09.2021_17.39,t
21.09.2021_17.39,t
21.09.2021_17.39,t
21.09.2021_17.39,t
21.09.2021_19.31,m
21.09.2021_19.31,m
21.09.2021_19.31,m
21.09.2021_19.31,m
29.09.2021_15.20,tk
29.09.2021_15.20,tk
29.09.2021_15.20,tk
29.09.2021_15.20,tk
29.09.2021_19.36,t
29.09.2021_19.36,t
29.09.2021_19.36,t
29.09.2021_19.36,t
30.09.2021_17.33,tk
30.09.2021_17.33,tk
30.09.2021_17.33,tk
30.09.2021_17.33,tk
30.09.2021_19.49,m
30.09.2021_19.49,m
30.09.2021_19.49,m
30.09.2021_19.49,m
05.10.2021_17.20,t
05.10.2021_17.20,t
05.10.2021_17.20,t
05.10.2021_17.20,t
08.10.2021_17.17,tk
08.10.2021_17.17,tk
08.10.2021_17.17,tk
08.10.2021_17.17,tk
12.10.2021_19.35,m
12.10.2021_19.35,m
12.10.2021_19.35,m
12.10.2021_19.35,m
18.10.2021_19.26,tk
18.10.2021_19.26,tk
18.10.2021_19.26,tk
18.10.2021_19.26,tk
