idx	 fname	 condition	 t	 tier1	 tier2	 tier3	 tier4	 n_speakers
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	0	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	1	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	2	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	3	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	4	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	5	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	6	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	7	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	8	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	9	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	10	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	11	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	12	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	13	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	14	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	15	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	16	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	17	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	18	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	19	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	20	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	21	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	22	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	23	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	24	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	25	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	26	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	27	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	28	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	29	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	30	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	31	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	32	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	33	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	34	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	35	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	36	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	37	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	38	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	39	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	40	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	41	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	42	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	43	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	44	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	45	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	46	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	47	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	48	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	49	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	50	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	51	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	52	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	53	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	54	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	55	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	56	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	57	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	58	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	59	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	60	0	0	0	0	0
20240319124845	 2024.03.19_12.48_45-016.zo.txt	s_A4F0.87B0.97T0.8H_17108481111	61	0	0	0	0	0
